,Unnamed: 0,_id,designation,discovery_date,h_mag,moid_au,q_au_1,q_au_2,period_yr,i_deg,pha,orbit_class,random_no
49,49,61126de7e8219513a7dc26e8,(2014 JH57),2014-05-10T00:00:00.000,16.2,0.418,0.43,6.27,6.13,26.54,N,Apollo,114
50,50,61126de7e8219513a7dc26e9,P/2014 L2 (NEOWISE),2014-06-07T00:00:00.000,,1.224,2.23,10.42,15.91,5.18,,Jupiter-family Comet,37
51,51,61126de7e8219513a7dc26ea,(2014 MQ18),2014-06-22T00:00:00.000,15.6,0.192,1.16,4.63,4.93,35.09,N,Amor,199
52,52,61126de7e8219513a7dc26eb,(2014 NC64),2014-07-13T00:00:00.000,20.2,0.196,0.8,3.57,3.23,22.68,N,Apollo,103
53,53,61126de7e8219513a7dc26ec,(2014 HJ129),2014-04-24T00:00:00.000,21.1,0.212,1.13,4.04,4.16,8.44,N,Amor,13
54,54,61126de7e8219513a7dc26ed,(2014 OY1),2014-07-21T00:00:00.000,19.1,0.042,0.97,4.19,4.14,23.01,Y,Apollo,62
55,55,61126de7e8219513a7dc26ee,(2014 JL25),2014-05-04T00:00:00.000,23.0,0.012,1.0,4.8,4.94,15.75,N,Apollo,90
56,56,61126de7e8219513a7dc26ef,(2014 EQ49),2014-03-15T00:00:00.000,21.8,0.026,0.91,1.39,1.23,15.18,Y,Apollo,58
57,57,61126de7e8219513a7dc26f0,(2014 ED),2014-03-01T00:00:00.000,19.3,0.365,0.56,2.53,1.92,21.77,N,Apollo,14
58,58,61126de7e8219513a7dc26f1,(2014 HQ124),2014-04-23T00:00:00.000,18.9,0.007,0.63,1.07,0.78,26.37,Y,Aten,130
59,59,61126de7e8219513a7dc26f2,(2014 CY4),2014-02-04T00:00:00.000,21.1,0.042,0.48,4.82,4.32,15.02,Y,Apollo,138
60,60,61126de7e8219513a7dc26f3,(2014 CF14),2014-02-07T00:00:00.000,18.1,0.149,0.82,3.17,2.83,29.41,N,Apollo,111
61,61,61126de7e8219513a7dc26f4,(2014 EN45),2014-03-06T00:00:00.000,21.2,0.156,1.06,3.83,3.82,14.03,N,Amor,178
62,62,61126de7e8219513a7dc26f5,(2014 NM64),2014-07-11T00:00:00.000,22.6,0.051,1.06,4.62,4.79,28.78,N,Amor,149
63,63,61126de7e8219513a7dc26f6,(2014 LQ25),2014-06-08T00:00:00.000,20.0,0.099,0.65,3.39,2.88,33.57,N,Apollo,54
64,64,61126de7e8219513a7dc26f7,(2014 BE63),2014-01-23T00:00:00.000,23.2,0.133,0.75,3.48,3.08,8.59,N,Apollo,135
65,65,61126de7e8219513a7dc26f8,(2014 BG60),2014-01-25T00:00:00.000,20.1,0.227,1.17,4.89,5.27,8.61,N,Amor,60
66,66,61126de7e8219513a7dc26f9,C/2014 C3 (NEOWISE),2014-02-14T00:00:00.000,,0.866,1.86,214.97,1128.89,151.78,,Comet,25
67,67,61126de7e8219513a7dc26fa,(2014 AA53),2014-01-13T00:00:00.000,19.8,0.14,0.78,3.97,3.66,12.45,N,Apollo,7
68,68,61126de7e8219513a7dc26fb,(2014 AQ46),2014-01-02T00:00:00.000,20.1,0.205,1.13,3.7,3.75,24.6,N,Amor,76
69,69,61126de7e8219513a7dc26fc,(2011 BN59),2011-01-29T00:00:00.000,20.4,0.326,1.16,4.97,5.36,20.32,N,Amor,172
70,70,61126de7e8219513a7dc26fd,(2013 YP139),2013-12-29T00:00:00.000,21.6,0.004,0.76,4.05,3.73,0.82,Y,Apollo,20
71,71,61126de7e8219513a7dc26fe,(2011 BY24),2011-01-24T00:00:00.000,22.6,0.017,0.96,2.83,2.6,13.95,N,Apollo,88
72,72,61126de7e8219513a7dc26ff,(2010 YD3),2010-12-26T00:00:00.000,20.0,0.195,1.11,4.05,4.14,24.61,N,Amor,127
73,73,61126de7e8219513a7dc2700,(2010 YC1),2010-12-21T00:00:00.000,21.3,0.163,0.83,2.0,1.68,17.66,N,Apollo,194
74,74,61126de7e8219513a7dc2701,(2010 XP69),2010-12-08T00:00:00.000,21.4,0.015,1.0,2.05,1.88,14.6,Y,Apollo,124
75,75,61126de7e8219513a7dc2702,(2010 XY82),2010-12-14T00:00:00.000,19.1,0.294,1.12,3.26,3.24,26.73,N,Amor,47
76,76,61126de7e8219513a7dc2703,(2010 UB8),2010-10-27T00:00:00.000,19.7,0.194,1.11,4.85,5.15,30.97,N,Amor,100
77,77,61126de7e8219513a7dc2704,(2010 WE9),2010-11-23T00:00:00.000,20.0,0.256,1.17,1.94,1.94,42.12,N,Amor,67
78,78,61126de7e8219513a7dc2705,(2010 XZ67),2010-12-10T00:00:00.000,19.7,0.063,1.04,3.08,2.96,11.84,N,Amor,106
79,79,61126de7e8219513a7dc2706,(2010 UY6),2010-10-23T00:00:00.000,20.1,0.062,1.04,4.28,4.34,19.98,N,Amor,197
80,80,61126de7e8219513a7dc2707,(2010 PY75),2010-08-15T00:00:00.000,18.7,0.243,0.6,4.72,4.34,31.29,N,Apollo,174
81,81,61126de7e8219513a7dc2708,(2010 QE2),2010-08-25T00:00:00.000,17.2,0.056,0.88,5.86,6.19,64.75,N,Apollo,92
82,82,61126de7e8219513a7dc2709,(2010 TK7),2010-10-01T00:00:00.000,20.8,0.087,0.81,1.19,1.0,20.89,N,Aten,166
83,83,61126de7e8219513a7dc270a,(2010 PU66),2010-08-03T00:00:00.000,22.1,0.148,0.91,2.07,1.81,18.09,N,Apollo,57
84,84,61126de7e8219513a7dc270b,(2010 QA5),2010-08-29T00:00:00.000,22.5,0.065,1.07,4.76,4.97,33.45,N,Amor,30
85,85,61126de7e8219513a7dc270c,(2010 PP58),2010-08-05T00:00:00.000,22.1,0.014,0.99,3.0,2.81,4.55,N,Apollo,144
86,86,61126de7e8219513a7dc270d,(2010 PM58),2010-08-01T00:00:00.000,20.9,0.096,0.74,2.0,1.61,13.6,N,Apollo,170
87,87,61126de7e8219513a7dc270e,(2010 PW58),2010-08-05T00:00:00.000,21.3,0.021,0.7,1.08,0.84,14.24,Y,Aten,129
88,88,61126de7e8219513a7dc270f,P/2010 P4 (WISE),2010-08-06T00:00:00.000,,0.854,1.86,5.55,7.13,24.1,,Jupiter-family Comet,193
89,89,61126de7e8219513a7dc2710,(2010 OK126),2010-07-30T00:00:00.000,20.7,0.149,1.08,2.83,2.74,52.56,N,Amor,97
90,90,61126de7e8219513a7dc2711,(2010 OH126),2010-07-31T00:00:00.000,21.4,0.068,0.95,2.85,2.62,14.38,N,Apollo,175
91,91,61126de7e8219513a7dc2712,(2010 ON101),2010-07-30T00:00:00.000,20.2,0.044,0.96,2.3,2.08,9.31,Y,Apollo,26
92,92,61126de7e8219513a7dc2713,(2010 OL101),2010-07-27T00:00:00.000,20.4,0.298,1.05,4.17,4.22,26.11,N,Amor,181
93,93,61126de7e8219513a7dc2714,(2010 OD101),2010-07-23T00:00:00.000,20.7,0.19,1.04,2.2,2.06,15.39,N,Amor,186
94,94,61126de7e8219513a7dc2715,(2010 OC101),2010-07-22T00:00:00.000,20.7,0.092,0.94,1.5,1.35,13.6,N,Apollo,51
95,95,61126de7e8219513a7dc2716,(2010 OL100),2010-07-28T00:00:00.000,19.6,0.129,0.78,3.74,3.4,22.16,N,Apollo,168
96,96,61126de7e8219513a7dc2717,(2010 NY65),2010-07-14T00:00:00.000,21.4,0.017,0.63,1.37,1.0,11.74,Y,Aten,49
97,97,61126de7e8219513a7dc2718,(2010 OE22),2010-07-17T00:00:00.000,21.3,0.178,0.97,4.31,4.28,14.32,N,Apollo,44
98,98,61126de7e8219513a7dc2719,(2010 OF101),2010-07-23T00:00:00.000,19.6,0.062,0.64,1.26,0.93,23.37,N,Aten,165
99,99,61126de7e8219513a7dc271a,(2010 NG3),2010-07-08T00:00:00.000,17.2,0.127,1.13,4.08,4.2,26.96,N,Amor,10
100,100,61126de7e8219513a7dc271b,(2010 NB2),2010-07-10T00:00:00.000,20.3,0.102,0.5,3.67,3.01,28.66,N,Apollo,195
101,101,61126de7e8219513a7dc271c,(2010 NU1),2010-07-06T00:00:00.000,21.2,0.336,0.48,4.33,3.74,34.58,N,Apollo,155
102,102,61126de7e8219513a7dc271d,(2010 NT1),2010-07-04T00:00:00.000,19.4,0.208,1.14,1.78,1.76,39.52,N,Amor,113
